time,open,high,low,close,volume,ticker
2019-11-15,7700,7700,7370,7630,24520,ITD
2019-11-18,7660,7660,7440,7480,17830,ITD
2019-11-19,7480,7630,7440,7480,17600,ITD
2019-11-20,7480,7480,7410,7410,2220,ITD
2019-11-21,7550,7920,7330,7410,37500,ITD
2019-11-22,7480,7550,7480,7550,150,ITD
2019-11-25,7590,7590,7190,7520,1100,ITD
2019-11-26,7590,7590,7590,7590,500,ITD
2019-11-27,7520,7660,7520,7660,16450,ITD
2019-11-28,7480,7700,7410,7660,31450,ITD
2019-11-29,7630,7630,7550,7550,1010,ITD
2019-12-02,7480,7630,7480,7630,1100,ITD
2019-12-03,7480,7550,7480,7480,23060,ITD
2019-12-04,7480,7480,7410,7480,31780,ITD
2019-12-05,7330,7550,7330,7550,420,ITD
2019-12-06,7550,7550,7550,7550,10,ITD
2019-12-09,7550,7550,7410,7410,1760,ITD
2019-12-10,7370,7410,7290,7410,34060,ITD
2019-12-11,7330,7480,7330,7480,11530,ITD
2019-12-12,7550,7550,7300,7370,13740,ITD
2019-12-13,7150,7410,7150,7300,91250,ITD
2019-12-16,7330,7480,7330,7480,22950,ITD
2019-12-17,7330,7330,7300,7330,35200,ITD
2019-12-18,7330,7330,7330,7330,31890,ITD
2019-12-19,7330,7330,7260,7330,2160,ITD
2019-12-20,7330,7330,7330,7330,3000,ITD
2019-12-23,7330,7330,7190,7330,290,ITD
2019-12-24,7190,7190,7190,7190,400,ITD
2019-12-25,7330,7330,7330,7330,3000,ITD
2019-12-26,7330,7330,7330,7330,4800,ITD
2019-12-27,7330,7330,7330,7330,10,ITD
2019-12-30,7260,7260,6970,7040,5490,ITD
2019-12-31,7110,7110,6820,6890,1220,ITD
2020-01-02,6600,6970,6600,6970,1650,ITD
2020-01-03,7190,7190,6970,6970,1070,ITD
2020-01-06,6970,7260,6970,6970,5390,ITD
2020-01-07,7040,7040,7040,7040,10,ITD
2020-01-08,7040,7040,7040,7040,0,ITD
2020-01-09,7040,7040,6970,7040,82300,ITD
2020-01-10,6970,7040,6820,7040,220,ITD
2020-01-13,6970,6970,6600,6970,4050,ITD
2020-01-14,6820,6970,6600,6890,49320,ITD
2020-01-15,6820,6890,6820,6890,8000,ITD
2020-01-16,6890,6890,6820,6890,24900,ITD
2020-01-17,6890,6890,6890,6890,4000,ITD
2020-01-20,7330,7330,7330,7330,10,ITD
2020-01-21,7260,7260,7260,7260,1360,ITD
2020-01-22,7260,7260,7190,7190,130,ITD
2020-01-30,7330,7330,7190,7190,120,ITD
2020-01-31,6970,6970,6970,6970,430,ITD
